id,hsk_level,hanzi,pinyin,english_translation,detailed_english_translation
1254,4,公里,gōnglǐ,kilometer,"Means kilometer."
1255,4,公路,gōnglù,highway,"Means a highway or main road."
1256,4,工人,gōngrén,worker,"Refers to a worker."
1257,4,工资,gōngzī,wages,"Means wages, salary, or pay."
1258,4,共,gòng,together,"Can mean together, in common, or in total depending on context."
1259,4,共同,gòngtóng,together,"Means together, jointly, or shared in common."
1260,4,够,gòu,enough,"Means enough or sufficient."
1261,4,购买,gòumǎi,purchase,"Means to purchase or buy."
1262,4,购物,gòuwù,shop,"Means to shop or do shopping."
1263,4,估计,gūjì,estimate,"Means to estimate or make a rough judgment. In casual speech, it can also mean to suppose."
1264,4,姑娘,gūniang,young woman,"Means a girl or young woman."
1265,4,鼓励,gǔlì,encourage,"Means to encourage."
1266,4,顾客,gùkè,customer,"Refers to a customer or client."
1267,4,故意,gùyì,deliberately,"Means deliberately or on purpose."
1268,4,挂,guà,hang,"Means to hang or suspend something. It can also mean to hang up a phone."
1269,4,关键,guānjiàn,key,"Means key, crucial, or the most important point."
1270,4,观看,guānkàn,watch,"Means to watch or view something."
1271,4,观众,guānzhòng,audience,"Refers to an audience or spectators."
1272,4,管,guǎn,manage,"Can mean to manage, control, or be responsible for something."
1273,4,管理,guǎnlǐ,manage,"Means to manage, supervise, or administer."
1274,4,光,guāng,light,"Can mean light, brightness, or only, depending on the context."
1275,4,广播,guǎngbō,broadcast,"Means a broadcast or to broadcast."
1276,4,广告,guǎnggào,advertisement,"Means an advertisement or commercial."
1277,4,逛,guàng,stroll around,"Means to stroll around, wander, or browse casually."
1278,4,规定,guīdìng,stipulate,"Means to stipulate, set, or specify. As a noun, it can also mean a rule or regulation."
1279,4,国籍,guójí,nationality,"Means nationality."
1280,4,国际,guójì,international,"Means international."
1281,4,果汁,guǒzhī,fruit juice,"Means fruit juice."
1282,4,过程,guòchéng,process,"Means a process or course of events."
1283,4,海洋,hǎiyáng,ocean,"Means the ocean or the seas."
1284,4,害羞,hàixiū,shy,"Means shy, embarrassed, or bashful."
1285,4,寒假,hánjià,winter vacation,"Means winter vacation."
1286,4,寒冷,hánlěng,cold,"Means very cold or chilly."
1287,4,喊,hǎn,shout,"Means to shout, yell, or call out."
1288,4,汗,hàn,sweat,"Means sweat or perspiration."
1289,4,航班,hángbān,flight,"Refers to a scheduled flight."
1290,4,好处,hǎochù,benefit,"Means a benefit, advantage, or good point."
1291,4,好好,hǎohǎo,properly,"Usually means properly, carefully, or well."
1292,4,好笑,hǎoxiào,funny,"Means funny or laughable."
1293,4,合格,hégé,qualified,"Means qualified or meeting the required standard."
1294,4,盒子,hézi,box,"Means a box or case."
1295,4,红包,hóngbāo,red envelope,"Refers to a red envelope, usually containing gift money."
1296,4,厚,hòu,thick,"Means thick. It can also describe something deep, rich, or generous in some contexts."
1297,4,后悔,hòuhuǐ,regret,"Means to regret or feel sorry about something done."
1298,4,忽然,hūrán,suddenly,"Means suddenly or all of a sudden."
1299,4,互联网,hùliánwǎng,internet,"Means the internet."
1300,4,护士,hùshi,nurse,"Refers to a nurse."
1301,4,互相,hùxiāng,each other,"Means each other or mutually."
1302,4,话剧,huàjù,stage play,"Refers to a stage play or spoken drama."
1303,4,怀疑,huáiyí,doubt,"Means to doubt, suspect, or be skeptical of something."
1304,4,坏处,huàichù,disadvantage,"Means a disadvantage, harm, or bad effect."
1305,4,环保,huánbǎo,environmental protection,"Means environmental protection. It can also describe something as environmentally friendly."
1306,4,换乘,huànchéng,transfer,"Means to transfer between forms of transportation."
1307,4,回复,huífù,reply,"Means to reply or respond. In some contexts, it can also mean to recover."
1308,4,回信,huíxìn,write back,"Means to write back or reply by letter."
1309,4,回忆,huíyì,memory,"Means memory or recollection. As a verb, it can also mean to recall."
1310,4,会员,huìyuán,member,"Refers to a member."
1311,4,活,huó,alive,"Can mean alive, living, work, or a job, depending on the context."
1312,4,活动,huódòng,activity,"Means an activity or event. As a verb, it can also mean to move about."
1313,4,活泼,huópō,lively,"Means lively, cheerful, or active."
1314,4,火,huǒ,fire,"Means fire. In some contexts, it can also suggest anger, urgency, or popularity."
1315,4,货,huò,goods,"Means goods, merchandise, or commodities."
1316,4,获得,huòdé,obtain,"Means to obtain, gain, or receive."
1317,4,获奖,huòjiǎng,win an award,"Means to win an award or prize."
1318,4,获取,huòqǔ,obtain,"Means to obtain, get, or acquire."
1319,4,基本,jīběn,basic,"Means basic or fundamental."
1320,4,基本上,jīběnshàng,basically,"Means basically or on the whole."
1321,4,基础,jīchǔ,foundation,"Means a foundation, basis, or basic groundwork."
1322,4,激动,jīdòng,excited,"Means excited or emotionally moved."
1323,4,积极,jījí,positive,"Means positive, active, or proactive."
1324,4,积累,jīlěi,accumulate,"Means to accumulate or build up over time."
1325,4,及时,jíshí,in time,"Means in time, promptly, or without delay."
1326,4,即使,jíshǐ,even if,"Means even if or even though."
1327,4,既,jì,both,"Often appears in patterns meaning both ... and .... In some contexts, it can also mean already or since."
1328,4,寄,jì,mail,"Means to mail, send, or post something."
1329,4,计划,jìhuà,plan,"Means a plan, project, or to plan something."
1330,4,既然,jìrán,since,"Means since or now that this is the case."
1331,4,技术,jìshù,technology,"Means technology, technique, or technical skill."
1332,4,继续,jìxù,continue,"Means to continue or go on."
1333,4,记者,jìzhě,reporter,"Refers to a reporter or journalist."
1334,4,加班,jiābān,work overtime,"Means to work overtime."
1335,4,家具,jiājù,furniture,"Means furniture."
1336,4,加快,jiākuài,speed up,"Means to speed up or accelerate."
1337,4,加强,jiāqiáng,strengthen,"Means to strengthen, reinforce, or intensify."
1338,4,加入,jiārù,join,"Means to join or become part of something."
1339,4,加上,jiāshàng,add,"Means to add, with the addition of, or plus."
1340,4,家庭,jiātíng,family,"Means a family or household."
1341,4,家乡,jiāxiāng,hometown,"Means one's hometown or native place."
1342,4,加油,jiāyóu,come on,"Often means 'come on' or 'keep it up' as encouragement. Literally, it can also mean to add fuel."
1343,4,加油站,jiāyóuzhàn,gas station,"Refers to a gas station."
1344,4,家长,jiāzhǎng,parent,"Usually means a parent or guardian."
1345,4,假,jiǎ,false,"Means false, fake, or not genuine."
1346,4,价格,jiàgé,price,"Means price."
1347,4,价钱,jiàqián,price,"Means price or cost."
1348,4,假日,jiàrì,holiday,"Means a holiday or day off."
1349,4,减,jiǎn,reduce,"Means to reduce, decrease, or subtract."
1350,4,减轻,jiǎnqīng,ease,"Means to ease, lighten, or reduce something."
1351,4,减少,jiǎnshǎo,reduce,"Means to reduce, lessen, or decrease."
1352,4,健身,jiànshēn,work out,"Means to work out, exercise, or keep fit."
1353,4,健身房,jiànshēnfáng,gym,"Refers to a gym."
1354,4,建议,jiànyì,suggestion,"Means a suggestion or recommendation. As a verb, it can also mean to suggest."
1355,4,江,jiāng,river,"Means a river, usually a large one."
1356,4,将,jiāng,will,"Often means will or be going to in formal or written style."
1357,4,将来,jiānglái,future,"Means the future or in the future."
1358,4,将要,jiāngyào,be going to,"Means be going to or about to."
1359,4,奖,jiǎng,award,"Means an award, prize, or reward."
1360,4,奖金,jiǎngjīn,bonus,"Means a bonus, prize money, or award money."
1361,4,奖学金,jiǎngxuéjīn,scholarship,"Means a scholarship."
1362,4,降,jiàng,fall,"Means to fall, drop, or go down."
1363,4,降低,jiàngdī,lower,"Means to lower or reduce."
1364,4,降价,jiàngjià,cut prices,"Means to cut prices or become cheaper."
1365,4,降落,jiàngluò,land,"Means to descend or land."
1366,4,降温,jiàngwēn,cool down,"Means to cool down or lower the temperature."
1367,4,交,jiāo,hand over,"Means to hand over, deliver, pay, or submit something."
1368,4,骄傲,jiāo’ào,proud,"Can mean proud or arrogant, depending on the context."
1369,4,交警,jiāojǐng,traffic police,"Refers to traffic police."
1370,4,交流,jiāoliú,exchange,"Means to exchange, communicate, or interact."
1371,4,郊区,jiāoqū,suburb,"Means a suburb or the outskirts of a city."
1372,4,交通,jiāotōng,traffic,"Means traffic, transportation, or transport systems."
1373,4,教练,jiàoliàn,coach,"Refers to a coach or trainer."
1374,4,教师,jiàoshī,teacher,"Refers to a teacher."
1375,4,教授,jiàoshòu,professor,"Usually refers to a professor. As a verb, it can also mean to teach or lecture."
1376,4,教学,jiàoxué,teaching,"Means teaching or instruction."
1377,4,教育,jiàoyù,education,"Means education, or to educate and teach."
1378,4,叫作,jiàozuò,be called,"Means to be called or be known as."
1379,4,街道,jiēdào,street,"Means a street or road in a town or city."
1380,4,接受,jiēshòu,accept,"Means to accept or receive."
1381,4,接着,jiēzhe,then,"Means then, next, or to continue doing something."
1382,4,结果,jiéguǒ,result,"Means a result or outcome. In some contexts, it can also mean in the end."
1383,4,节假日,jiéjiàrì,holiday,"Means a holiday or public holiday period."
1384,4,节约,jiéyuē,save,"Means to save, economize, or conserve resources."
1385,4,结账,jiézhàng,pay the bill,"Means to pay the bill or settle an account."
1386,4,解释,jiěshì,explain,"Means to explain or interpret."
1387,4,今后,jīnhòu,from now on,"Means from now on or in the future."
1388,4,仅,jǐn,only,"Means only, merely, or barely."
1389,4,尽管,jǐnguǎn,although,"Means although or even though."
1390,4,仅仅,jǐnjǐn,only,"Means only, merely, or nothing more than."
1391,4,紧张,jǐnzhāng,nervous,"Means nervous, tense, or under pressure."
1392,4,进入,jìnrù,enter,"Means to enter or go into something."
1393,4,进行,jìnxíng,carry out,"Means to carry out, conduct, or proceed with something."
1394,4,禁止,jìnzhǐ,forbid,"Means to forbid, prohibit, or ban."
1395,4,精彩,jīngcǎi,wonderful,"Means wonderful, brilliant, or excellent."
1396,4,经济,jīngjì,economy,"Means the economy or economic matters."
1397,4,京剧,jīngjù,Beijing opera,"Refers to Beijing opera."
1398,4,经历,jīnglì,go through,"Means to go through or experience something. As a noun, it can also mean an experience."
1399,4,经验,jīngyàn,experience,"Means experience or practical knowledge gained over time."
1400,4,警察,jǐngchá,police,"Means the police or a police officer."
1401,4,景点,jǐngdiǎn,attraction,"Refers to a scenic attraction or place of interest."
1402,4,景区,jǐngqū,scenic area,"Refers to a scenic area or tourist zone."
1403,4,景色,jǐngsè,scenery,"Means scenery, landscape, or the view."
1404,4,竟然,jìngrán,unexpectedly,"Means unexpectedly or to one's surprise."
1405,4,竞争,jìngzhēng,compete,"Means to compete. As a noun, it can also mean competition."
1406,4,镜子,jìngzi,mirror,"Refers to a mirror."
1407,4,究竟,jiūjìng,after all,"Often means after all or exactly. In questions, it adds emphasis like 'in the end' or 'exactly what.'"
1408,4,就是,jiùshì,exactly,"Often means exactly, precisely, or simply is. It is frequently used for emphasis in spoken Chinese."
1409,4,举,jǔ,raise,"Means to raise, lift, or hold up. It can also mean to cite or give as an example."
1410,4,举办,jǔbàn,hold,"Means to hold or organize an event."
1411,4,举例,jǔlì,give an example,"Means to give an example."
1412,4,举行,jǔxíng,hold,"Means to hold or carry out an event, ceremony, or meeting."
1413,4,聚,jù,gather,"Means to gather, assemble, or get together."
1414,4,聚餐,jùcān,have a group meal,"Means to have a group meal together."
1415,4,聚会,jùhuì,gathering,"Means a gathering or to get together."
1416,4,拒绝,jùjué,refuse,"Means to refuse, reject, or decline."
1417,4,距离,jùlí,distance,"Means distance. It can also mean to be a certain distance away from something."
1418,4,剧院,jùyuàn,theater,"Refers to a theater."
1419,4,开玩笑,kāi wánxiào,joke,"Means to joke, kid around, or make fun of someone."
1420,4,看法,kànfǎ,opinion,"Means an opinion or point of view."
1421,4,烤,kǎo,roast,"Means to roast, bake, or grill."
1422,4,考虑,kǎolǜ,consider,"Means to consider or think something over."
1423,4,考生,kǎoshēng,exam candidate,"Refers to an exam candidate or examinee."
1424,4,棵,kē,measure word for plants,"A measure word used for trees, plants, and similar growing things."
1425,4,科技,kējì,science and technology,"Means science and technology."
1426,4,科学,kēxué,science,"Means science. It can also describe something as scientific or rational."
1427,4,咳,ké,cough,"Means to cough."
1428,4,咳嗽,késou,cough,"Means to cough. As a noun, it can also refer to a cough."
1429,4,可惜,kěxī,unfortunately,"Means unfortunately or what a pity."
1430,4,克,kè,gram,"Means gram as a unit of weight."
1431,4,课程,kèchéng,course,"Means a course, class, or curriculum."
1432,4,客气,kèqi,polite,"Means polite, courteous, or formal."
1433,4,课堂,kètáng,classroom,"Usually means the classroom or the class setting."
1434,4,客厅,kètīng,living room,"Refers to a living room."
1435,4,肯定,kěndìng,certain,"Can mean certain, sure, or definitely. As a verb, it can also mean to affirm or confirm."
1436,4,空,kōng,empty,"Means empty, vacant, or unoccupied."
1437,4,空气,kōngqì,air,"Means air or atmosphere."
1438,4,恐怕,kǒngpà,I'm afraid,"Often means I'm afraid, probably, or it seems likely that."
1439,4,空,kòng,free time,"In this reading, it often means free time or an empty slot."
1440,4,口语,kǒuyǔ,spoken language,"Means spoken language or colloquial speech."
1441,4,苦,kǔ,bitter,"Means bitter. It can also describe hardship or suffering."
1442,4,快餐,kuàicān,fast food,"Means fast food or a quick meal."
1443,4,快递,kuàidì,express delivery,"Means express delivery or courier service."
1444,4,快速,kuàisù,fast,"Means fast or rapid."
1445,4,困,kùn,sleepy,"Often means sleepy. In other contexts, it can also mean trapped or in difficulty."
1446,4,困难,kùnnan,difficulty,"Means difficulty or something difficult."
1447,4,拉,lā,pull,"Means to pull, drag, or draw."
1448,4,垃圾,lājī,trash,"Means trash, rubbish, or garbage."
1449,4,辣,là,spicy,"Means spicy or hot in flavor."
1450,4,来不及,láibují,not have enough time,"Means not to have enough time or that it is too late to do something."
1451,4,来得及,láidejí,have enough time,"Means to have enough time to do something."
1452,4,懒,lǎn,lazy,"Means lazy."
1453,4,浪费,làngfèi,waste,"Means to waste or squander. As a noun, it can also mean waste."
1454,4,浪漫,làngmàn,romantic,"Means romantic."
1455,4,老虎,lǎohǔ,tiger,"Refers to a tiger."
1456,4,老家,lǎojiā,hometown,"Means one's hometown or native place."
1457,4,老年,lǎonián,old age,"Means old age or elderly years."
1458,4,老是,lǎoshì,always,"Means always or all the time."
1459,4,冷静,lěngjìng,calm,"Means calm or cool-headed. It can also mean to calm down."
1460,4,理发,lǐfà,get a haircut,"Means to get a haircut or have one's hair done."
1461,4,理解,lǐjiě,understand,"Means to understand or comprehend."
1462,4,礼貌,lǐmào,politeness,"Means politeness, courtesy, or good manners."
1463,4,理想,lǐxiǎng,ideal,"Means an ideal, dream, or something perfect."
1464,4,厉害,lìhai,serious,"Can mean severe, intense, impressive, or very capable, depending on the context."
1465,4,力气,lìqi,strength,"Means physical strength or energy."
1466,4,例如,lìrú,for example,"Means for example or for instance."
1467,4,例子,lìzi,example,"Means an example or instance."
1468,4,俩,liǎ,two,"A colloquial word meaning two, often used like 'the two of' someone or something."
1469,4,连,lián,even,"Often means even. It can also mean to connect or link in some contexts."
1470,4,联系,liánxì,contact,"Means contact, connection, or to get in touch."
1471,4,凉,liáng,cool,"Means cool in temperature."
1472,4,量,liáng,measure,"Means to measure or estimate an amount."
1473,4,两,liǎng,two,"The number two. In everyday Mandarin, it is often used instead of 二 before measure words and many nouns."
1474,4,亮,liàng,bright,"Means bright or to shine."
1475,4,列,liè,line up,"Means to line up, arrange, or list."
1476,4,零下,líng xià,below zero,"Means below zero."
1477,4,零花钱,línghuāqián,pocket money,"Means pocket money or spending money."
1478,4,零钱,língqián,small change,"Means small change or loose money."
1479,4,零食,língshí,snacks,"Means snacks."
1480,4,另,lìng,another,"Means another, other, or separate."
1481,4,另外,lìngwài,in addition,"Means in addition, besides, or separately."
1482,4,留,liú,stay,"Can mean to stay, remain, keep, or leave something behind."
1483,4,流,liú,flow,"Means to flow, spread, or drift."
1484,4,流利,liúlì,fluent,"Means fluent or smooth, especially in speaking."
1485,4,留下,liúxia,leave behind,"Means to leave behind, stay behind, or remain."
1486,4,流行,liúxíng,popular,"Means popular or fashionable. It can also mean that something spreads widely."
1487,4,路过,lùguò,pass by,"Means to pass by or go past a place."
1488,4,旅馆,lǚguǎn,hotel,"Refers to a hotel or guesthouse."
1489,4,旅客,lǚkè,traveler,"Refers to a traveler or passenger."
1490,4,旅行,lǚxíng,travel,"Means to travel or go on a trip."
1491,4,律师,lǜshī,lawyer,"Refers to a lawyer."
1492,4,乱,luàn,chaotic,"Means chaotic, messy, or in disorder."
1493,4,落,luò,fall,"Means to fall, drop, or go down."
1494,4,麻烦,máfan,trouble,"Means trouble, inconvenience, or something bothersome. It can also be used politely when asking someone to do something."
1495,4,馒头,mántou,steamed bun,"Refers to a plain steamed bun."
1496,4,满,mǎn,full,"Means full or completely filled."
1497,4,毛巾,máojīn,towel,"Refers to a towel."
1498,4,毛衣,máoyī,sweater,"Refers to a sweater."
1499,4,帽子,màozi,hat,"Refers to a hat or cap."
1500,4,美,měi,beautiful,"Means beautiful or pleasing. In some contexts, it can also describe something as good or admirable."
1501,4,美好,měihǎo,wonderful,"Means wonderful, happy, or deeply good in a positive way."
1502,4,美景,měijǐng,beautiful scenery,"Refers to beautiful scenery or a lovely view."
1503,4,美丽,měilì,beautiful,"Means beautiful, especially in a graceful or attractive way."
1504,4,美食,měishí,delicious food,"Refers to delicious food or fine cuisine."
1505,4,梦,mèng,dream,"Means a dream. It can refer to the dreams you have while sleeping or, in some contexts, an aspiration."
1506,4,梦想,mèngxiǎng,dream,"Means a dream, goal, or ideal. As a verb, it can also mean to dream of something."
1507,4,密码,mìmǎ,password,"Means a password, code, or PIN used for access or security."
1508,4,免费,miǎnfèi,free of charge,"Means free of charge."
1509,4,面对,miànduì,face,"Means to face or confront a person, situation, or problem."
1510,4,面试,miànshì,interview,"Means an interview, especially for a job or school application."
1511,4,秒,miǎo,second,"Means a second as a unit of time."
1512,4,民族,mínzú,ethnic group,"Usually refers to an ethnic group or nationality. In broader contexts, it can also mean a people or nation."
1513,4,末,mò,end,"Means the end, last part, or final stage of something."
1514,4,母女,mǔnǚ,mother and daughter,"Refers to a mother and daughter."
1515,4,母亲,mǔqīn,mother,"A somewhat formal word for mother."
1516,4,母子,mǔzǐ,mother and son,"Refers to a mother and son."
1517,4,目标,mùbiāo,target,"Means a target, goal, or objective."
1518,4,目的,mùdì,purpose,"Means purpose, aim, or intention."
1519,4,目的地,mùdìdì,destination,"Means a destination."
1520,4,目前,mùqián,at present,"Means at present or currently."
1521,4,耐心,nàixīn,patience,"Means patience. It can also describe someone as patient."
1522,4,南部,nánbù,southern part,"Means the southern part of a place."
1523,4,难道,nándào,could it be that,"Used in rhetorical questions to express surprise, doubt, or disbelief."
1524,4,男士,nánshì,gentleman,"A polite way to refer to a man, similar to gentleman or sir."
1525,4,难受,nánshòu,feel unwell,"Means to feel physically or emotionally uncomfortable."
1526,4,难忘,nánwàng,unforgettable,"Means unforgettable or hard to forget."
1527,4,男性,nánxìng,male,"Means male or masculine."
1528,4,内,nèi,inside,"Means inside, inner, or internal."
1529,4,内容,nèiróng,content,"Means content, substance, or details."
1530,4,内心,nèixīn,inner heart,"Refers to someone's inner thoughts or deepest feelings."
1531,4,能否,néng fǒu,whether or not one can,"Means whether or not something is possible or can be done."
1532,4,能够,nénggòu,be able to,"Means to be able to or be capable of."
1533,4,能力,nénglì,ability,"Means ability or capability."
1534,4,嗯,ǹg,interjection of agreement,"An interjection used to show agreement, acknowledgment, or that you are thinking."
1535,4,年底,niándǐ,end of the year,"Means the end of the year."
1536,4,年龄,niánlíng,age,"Means a person's age."
1537,4,农村,nóngcūn,countryside,"Means the countryside or a rural area."
1538,4,弄,nòng,handle,"A very common informal verb meaning to do, handle, fix, or get something done."
1539,4,女性,nǚxìng,female,"Means female or feminine."
1540,4,暖和,nuǎnhuo,warm,"Means warm or nicely warm."
1541,4,偶尔,ǒu’ěr,occasionally,"Means occasionally or once in a while."
1542,4,拍,pāi,pat,"Can mean to pat, clap, slap, or take a photo, depending on the context."
1543,4,排,pái,line up,"Can mean to line up, arrange, or put things in order."
1544,4,牌,pái,brand,"Can mean a brand, sign, card, or plate, depending on the context."
1545,4,排队,páiduì,queue,"Means to queue or line up."
1546,4,排球,páiqiú,volleyball,"Refers to volleyball."
1547,4,牌子,páizi,brand,"Means a brand, label, or sign."
1548,4,判断,pànduàn,judge,"Means to judge, determine, or make a decision."
1549,4,陪,péi,accompany,"Means to accompany someone or keep them company."
1550,4,批评,pīpíng,criticize,"Means to criticize. As a noun, it can also mean criticism."
1551,4,皮肤,pífū,skin,"Means skin."
1552,4,脾气,píqi,temper,"Means someone's temper or general disposition."
1553,4,皮鞋,píxié,leather shoes,"Refers to leather shoes."
1554,4,篇,piān,measure word for articles,"A measure word commonly used for written pieces such as articles, essays, or stories."
1555,4,片,piàn,slice,"Means a slice, thin piece, or sheet. It can also be used for films, tablets, and similar flat things."
1556,4,乒乓球,pīngpāngqiú,table tennis,"Refers to table tennis or ping-pong. In some contexts, it can also mean a ping-pong ball."
1557,4,平常,píngcháng,ordinary,"Means ordinary or usual. It can also mean normally in some contexts."
1558,4,破,pò,broken,"Means broken, damaged, torn, or worn out."
1559,4,葡萄,pútao,grape,"Means a grape or grapes."
1560,4,葡萄酒,pútaojiǔ,wine,"Means grape wine."
1561,4,普遍,pǔbiàn,widespread,"Means widespread, general, or common."
1562,4,普通,pǔtōng,ordinary,"Means ordinary, common, or average."
1563,4,普通话,pǔtōnghuà,Mandarin,"Refers to standard Mandarin Chinese."
1564,4,期,qī,period,"Can mean a period, stage, or term. It often appears in words related to time, dates, or school terms."
1565,4,期末,qīmò,end of term,"Means the end of a term or semester."
1566,4,期中,qīzhōng,midterm,"Means the middle of a term, or a midterm exam in school contexts."
1567,4,其次,qícì,next,"Means next or secondly when listing points or steps."
1568,4,其中,qízhōng,among them,"Means among them, within it, or included in that group."
1569,4,起到,qǐdào,play a role,"Usually appears in patterns meaning to play a certain role or have a certain effect."
1570,4,气,qì,air,"Can mean air, gas, breath, or mood. In some contexts, it also relates to anger or irritation."
1571,4,气候,qìhòu,climate,"Means climate. It can also refer to a general atmosphere or situation in broader contexts."
1572,4,汽水,qìshuǐ,soda,"Means soda or a fizzy soft drink."
1573,4,气温,qìwēn,air temperature,"Means air temperature."
1574,4,千克,qiānkè,kilogram,"Means kilogram."
1575,4,千万,qiānwàn,by all means,"Often used to mean by all means, absolutely, or be sure to. In other contexts, it can also literally mean ten million."
1576,4,签证,qiānzhèng,visa,"Means a visa."
1577,4,前方,qiánfāng,ahead,"Means ahead or in front."
1578,4,前后,qiánhòu,around,"Can mean around, before and after, or from beginning to end, depending on the context."
1579,4,强,qiáng,strong,"Means strong, powerful, or forceful."
1580,4,敲,qiāo,knock,"Means to knock, tap, or strike."
1581,4,桥,qiáo,bridge,"Means a bridge."
1582,4,巧,qiǎo,clever,"Can mean clever or skillful. In some contexts, it also means by coincidence or just by chance."
1583,4,巧克力,qiǎokèlì,chocolate,"Means chocolate."
1584,4,亲戚,qīnqi,relative,"Refers to a relative or family relation."
1585,4,琴,qín,stringed instrument,"A general word for certain musical instruments, especially stringed ones."
1586,4,轻,qīng,light,"Means light in weight or degree. It can also mean gentle, slight, or easy."
1587,4,青年,qīngnián,youth,"Means a young person or youth."
1588,4,轻松,qīngsōng,relaxed,"Means relaxed, easy, or not stressful."
1589,4,情况,qíngkuàng,situation,"Means a situation, condition, or state of affairs."
1590,4,庆祝,qìngzhù,celebrate,"Means to celebrate."
1591,4,球队,qiúduì,team,"Refers to a sports team."
1592,4,球迷,qiúmí,sports fan,"Refers to a fan of ball sports."
1593,4,区,qū,area,"Means an area, district, or region."
1594,4,区别,qūbié,difference,"Means a difference or distinction. As a verb, it can also mean to distinguish."
1595,4,取,qǔ,take,"Means to take, get, fetch, or choose."
1596,4,取得,qǔdé,obtain,"Means to obtain, gain, or achieve."
1597,4,取消,qǔxiāo,cancel,"Means to cancel or call something off."
1598,4,全,quán,whole,"Means whole, complete, or all."
1599,4,全部,quánbù,all,"Means all or the whole of something."
1600,4,全都,quándōu,all,"Means all, with no exceptions."
1601,4,全球,quánqiú,global,"Means global or worldwide. It can also refer to the whole world."
1602,4,全身,quánshēn,whole body,"Means the whole body."
1603,4,缺,quē,lack,"Means to lack something or be short of it."
1604,4,缺点,quēdiǎn,shortcoming,"Means a shortcoming, weakness, or drawback."
1605,4,缺少,quēshǎo,lack,"Means to lack something or have too little of it."
1606,4,却,què,however,"Usually means however, but, or yet, often showing contrast with what was expected."
1607,4,确实,quèshí,indeed,"Means indeed or really. It is used to emphasize that something is true."
1608,4,然而,rán'ér,however,"A more formal word meaning however or nevertheless."
1609,4,热闹,rènao,lively,"Describes a place or event as lively, busy, and full of activity."
1610,4,人生,rénshēng,life,"Means life, especially a person's life as a whole."
1611,4,人数,rénshù,number of people,"Means the number of people."
1612,4,人员,rényuán,personnel,"Refers to personnel, staff, or the people involved in an organization or activity."
1613,4,任何,rènhé,any,"Means any or whatever, usually in broad or unrestricted statements."
1614,4,任务,rènwu,task,"Means a task, assignment, or mission."
1615,4,扔,rēng,throw away,"Means to throw or throw away."
1616,4,仍,réng,still,"Means still or yet, showing that something continues."
1617,4,仍然,réngrán,still,"Means still, yet, or nevertheless. It often emphasizes that a situation continues unchanged."
1618,4,日常,rìcháng,daily,"Means daily or everyday."
1619,4,日记,rìjì,diary,"Means a diary or journal."
1620,4,日期,rìqī,date,"Means a date on the calendar."
1621,4,日子,rìzi,day,"Can mean a day, a period of time, or everyday life depending on the context."
1622,4,入,rù,enter,"Means to enter or go into. It also appears in many words related to joining or entering."
1623,4,入口,rùkǒu,entrance,"Means an entrance or entry point."
1624,4,入学,rùxué,start school,"Means to enter a school or begin studying there."
1625,4,入住,rùzhù,check in,"Means to check in or move into a hotel or residence."
1626,4,散步,sànbù,take a walk,"Means to take a walk."
1627,4,扫码,sǎomǎ,scan a code,"Means to scan a QR code or barcode."
1628,4,森林,sēnlín,forest,"Means a forest."
1629,4,商量,shāngliang,discuss,"Means to discuss something together and decide what to do."
1630,4,商品,shāngpǐn,product,"Means goods, merchandise, or products for sale."
1631,4,伤心,shāngxīn,sad,"Means sad or heartbroken."
1632,4,上门,shàngmén,come over,"Means to come to someone's door or visit in person."
1633,4,稍,shāo,a bit,"Means a bit or slightly. It often appears in phrases like 稍微."
1634,4,稍微,shāowēi,slightly,"Means slightly or a little bit."
1635,4,少见,shǎojiàn,rare,"Means rare or not often seen."
1636,4,少量,shǎoliàng,a small amount,"Means a small amount."
1637,4,少数,shǎoshù,a small number,"Means a small number or minority."
1638,4,少年,shàonián,young person,"Refers to a young person, especially a teenage boy or youth."
1639,4,社会,shèhuì,society,"Means society."
1640,4,摄氏度,shèshìdù,degrees Celsius,"Means degrees Celsius."
1641,4,身,shēn,body,"Usually means the body or oneself. It also appears in many common body-related words."
1642,4,深,shēn,deep,"Means deep. It can also describe something as intense, serious, or dark in color."
1643,4,身份证,shēnfènzhèng,ID card,"Means an identity card or ID card."
1644,4,申请,shēnqǐng,apply,"Means to apply for something or submit a formal request."
1645,4,甚至,shènzhì,even,"Means even, often adding a more extreme or surprising example."
1646,4,生,shēng,raw,"Can mean raw, alive, or unfamiliar. As a verb, it can also mean to give birth to or be born."
1647,4,生,shēng,raw,"Can mean raw, alive, or unfamiliar. As a verb, it can also mean to give birth to or be born."
1648,4,生命,shēngmìng,life,"Means life, especially life as something living."
1649,4,生意,shēngyi,business,"Means business, especially buying and selling or running a business."
1650,4,省,shěng,province,"Most commonly means a province. As a verb, it can also mean to save or economize."
1651,4,剩,shèng,be left over,"Means to remain or be left over."
1652,4,失败,shībài,fail,"Means to fail or be unsuccessful. As a noun, it can also mean failure."
1653,4,师傅,shīfu,master worker,"A respectful way to address a skilled worker or experienced older man."
1654,4,失去,shīqù,lose,"Means to lose something or someone."
1655,4,师生,shīshēng,teachers and students,"Refers to teachers and students together."
1656,4,失望,shīwàng,disappointed,"Means disappointed or losing hope."
1657,4,十分,shífēn,very,"Often means very or extremely. In some contexts, it can also mean fully or completely."
1658,4,实际,shíjì,actual,"Means actual, real, or practical."
